avatar_file;hero_uid;appearance_id;ocr_text;ocr_confidence;ocr_status;screenshot_id;side;slot;label_source;reviewed
2804_Screenshot_20250709-140324__R2.png;HW_HERO_0044;rufus__appearance_01;Rufus;0.9999886978452819;HIGH;2804;R;2;visual_cluster_and_ocr;0
2804_Screenshot_20250709-140324__R3.png;HW_HERO_0011;dorian__appearance_01;Dorian;0.9999263662368604;HIGH;2804;R;3;visual_cluster_and_ocr;0
2804_Screenshot_20250709-140324__R4.png;HW_HERO_0020;jet__appearance_01;Jet;0.9999980040603199;HIGH;2804;R;4;visual_cluster_and_ocr;0
2804_Screenshot_20250709-140324__R5.png;HW_HERO_0017;guus__appearance_01;Guus;0.9999259114265442;HIGH;2804;R;5;visual_cluster_and_ocr;0
2805_Screenshot_20250709-125031__L1.png;HW_HERO_0038;orion__appearance_01;Orion;0.9999733972627494;HIGH;2805;L;1;visual_cluster_and_ocr;0
2805_Screenshot_20250709-125031__L2.png;HW_HERO_0019;ishmael__appearance_01;Ishmaël;0.9997177959261265;HIGH;2805;L;2;visual_cluster_and_ocr;0
2805_Screenshot_20250709-125031__L3.png;HW_HERO_0035;mojo__appearance_01;Mojo;0.9999925494194031;HIGH;2805;L;3;visual_cluster_and_ocr;0
2805_Screenshot_20250709-125031__L4.png;HW_HERO_0053;ziri__appearance_01;Ziri;0.9999871850013733;HIGH;2805;L;4;visual_cluster_and_ocr;0
2805_Screenshot_20250709-125031__L5.png;HW_HERO_0032;martha__appearance_01;Martha;0.9999941599575274;HIGH;2805;L;5;visual_cluster_and_ocr;0
2805_Screenshot_20250709-125031__R1.png;HW_HERO_0005;cascade__appearance_01;Cascade;0.9999738218442348;HIGH;2805;R;1;visual_cluster_and_ocr;0
2805_Screenshot_20250709-125031__R2.png;HW_HERO_0021;jhu__appearance_01;Jhu;0.9999841013228722;HIGH;2805;R;2;visual_cluster_and_ocr;0
2805_Screenshot_20250709-125031__R3.png;HW_HERO_0016;ginger__appearance_01;Ginger;0.9999911912663318;HIGH;2805;R;3;visual_cluster_and_ocr;0
2805_Screenshot_20250709-125031__R4.png;HW_HERO_0006;celeste__appearance_01;Céleste;0.9998016082192743;HIGH;2805;R;4;visual_cluster_and_ocr;0
2805_Screenshot_20250709-125031__R5.png;HW_HERO_0032;martha__appearance_01;Martha;0.9634533891971019;HIGH;2805;R;5;visual_cluster_and_ocr;0
2806_Screenshot_20250709-124954__L1.png;HW_HERO_0021;jhu__appearance_01;Jhu;0.9999794900245863;HIGH;2806;L;1;visual_cluster_and_ocr;0
2806_Screenshot_20250709-124954__L2.png;HW_HERO_0015;galaad__appearance_01;Galaad;0.6155819658628058;MEDIUM;2806;L;2;visual_cluster_and_ocr;0
2806_Screenshot_20250709-124954__L3.png;HW_HERO_0014;folio__appearance_01;Folio;0.9999827268895325;HIGH;2806;L;3;visual_cluster_and_ocr;0
2806_Screenshot_20250709-124954__L4.png;HW_HERO_0033;maya__appearance_01;Maya;0.9999449253082275;HIGH;2806;L;4;visual_cluster_and_ocr;0
2806_Screenshot_20250709-124954__L5.png;HW_HERO_0036;nebula__appearance_01;Nébula;0.9999230081578013;HIGH;2806;L;5;visual_cluster_and_ocr;0
2806_Screenshot_20250709-124954__R1.png;HW_HERO_0025;karkh__appearance_01;K'arkh;0.9958119358335148;HIGH;2806;R;1;visual_cluster_and_ocr;0
2806_Screenshot_20250709-124954__R2.png;HW_HERO_0015;galaad__appearance_01;Galaad;0.9999920186067003;HIGH;2806;R;2;visual_cluster_and_ocr;0
2806_Screenshot_20250709-124954__R3.png;HW_HERO_0041;phobos__appearance_01;Phobos;0.9973859578382497;HIGH;2806;R;3;visual_cluster_and_ocr;0
2806_Screenshot_20250709-124954__R4.png;HW_HERO_0033;maya__appearance_01;Maya;0.9999351501464844;HIGH;2806;R;4;visual_cluster_and_ocr;0
2806_Screenshot_20250709-124954__R5.png;HW_HERO_0011;dorian__appearance_01;Dorian;0.9999758611081432;HIGH;2806;R;5;visual_cluster_and_ocr;0
2807_Screenshot_20250709-124710__L1.png;HW_HERO_0027;keira__appearance_01;Keira;0.9999951486052463;HIGH;2807;L;1;visual_cluster_and_ocr;0
2807_Screenshot_20250709-124710__L2.png;HW_HERO_0014;folio__appearance_01;Folio;0.9999908303284581;HIGH;2807;L;2;visual_cluster_and_ocr;0
2807_Screenshot_20250709-124710__L3.png;HW_HERO_0006;celeste__appearance_01;Céleste;0.9983804575570262;HIGH;2807;L;3;visual_cluster_and_ocr;0
2807_Screenshot_20250709-124710__L4.png;HW_HERO_0002;andvari__appearance_01;Andvari;0.9999782825094796;HIGH;2807;L;4;visual_cluster_and_ocr;0
2807_Screenshot_20250709-124710__L5.png;HW_HERO_0032;martha__appearance_01;Martha;0.9999941599575274;HIGH;2807;L;5;visual_cluster_and_ocr;0
2807_Screenshot_20250709-124710__R1.png;HW_HERO_0005;cascade__appearance_01;Cascade;0.9999738218442348;HIGH;2807;R;1;visual_cluster_and_ocr;0
2807_Screenshot_20250709-124710__R2.png;HW_HERO_0010;dante__appearance_01;Dante;0.997455448440831;HIGH;2807;R;2;visual_cluster_and_ocr;0
2807_Screenshot_20250709-124710__R3.png;HW_HERO_0008;corvus__appearance_01;Corvus;0.7805770522824172;MEDIUM;2807;R;3;visual_cluster_and_ocr;0
2807_Screenshot_20250709-124710__R4.png;HW_HERO_0037;octavia__appearance_01;Octavia;0.9998513988569151;HIGH;2807;R;4;visual_cluster_and_ocr;0
2807_Screenshot_20250709-124710__R5.png;HW_HERO_0036;nebula__appearance_01;Nébula;0.9999145399471803;HIGH;2807;R;5;visual_cluster_and_ocr;0
2808_Screenshot_20250709-124612__L1.png;HW_HERO_0027;keira__appearance_01;Keira;0.9999951486052463;HIGH;2808;L;1;visual_cluster_and_ocr;0
2808_Screenshot_20250709-124612__L2.png;HW_HERO_0021;jhu__appearance_01;Jhu;0.9999737775246902;HIGH;2808;L;2;visual_cluster_and_ocr;0
2808_Screenshot_20250709-124612__L3.png;HW_HERO_0002;andvari__appearance_01;Andvari;0.7061800784590305;MEDIUM;2808;L;3;visual_cluster_and_ocr;0
2808_Screenshot_20250709-124612__L4.png;HW_HERO_0006;celeste__appearance_01;Céleste;0.9993489948794073;HIGH;2808;L;4;visual_cluster_and_ocr;0
2808_Screenshot_20250709-124612__L5.png;HW_HERO_0032;martha__appearance_01;Martha;0.9999941599575274;HIGH;2808;L;5;visual_cluster_and_ocr;0
2808_Screenshot_20250709-124612__R1.png;HW_HERO_0019;ishmael__appearance_01;Ishmaël;0.999852254978525;HIGH;2808;R;1;visual_cluster_and_ocr;0
2808_Screenshot_20250709-124612__R2.png;HW_HERO_0052;yasmine__appearance_01;Yasmine;0.9995795485708842;HIGH;2808;R;2;visual_cluster_and_ocr;0
2808_Screenshot_20250709-124612__R3.png;HW_HERO_0046;sebastien__appearance_01;Sébastien;0.9988392003735095;HIGH;2808;R;3;visual_cluster_and_ocr;0
2808_Screenshot_20250709-124612__R4.png;HW_HERO_0003;astaroth__appearance_01;Astaroth;0.9761962442488433;HIGH;2808;R;4;visual_cluster_and_ocr;0
2808_Screenshot_20250709-124612__R5.png;HW_HERO_0013;fafnir__appearance_01;Fafnir;0.9999954253007136;HIGH;2808;R;5;visual_cluster_and_ocr;0
2809_Screenshot_20250709-175158__L1.png;HW_HERO_0043;qing_mao__appearance_01;Qing Mao;0.7463197656715577;MEDIUM;2809;L;1;visual_cluster_and_ocr;0
2809_Screenshot_20250709-175158__L2.png;HW_HERO_0019;ishmael__appearance_01;Ishmaël;0.9997177959261265;HIGH;2809;L;2;visual_cluster_and_ocr;0
2809_Screenshot_20250709-175158__L3.png;HW_HERO_0050;tristan__appearance_01;Tristan;0.9999843201673558;HIGH;2809;L;3;visual_cluster_and_ocr;0
2809_Screenshot_20250709-175158__L4.png;HW_HERO_0015;galaad__appearance_01;Galaad;0.9524348905436844;HIGH;2809;L;4;visual_cluster_and_ocr;0
2809_Screenshot_20250709-175158__L5.png;HW_HERO_0013;fafnir__appearance_01;Fafnir;0.9999920186067003;HIGH;2809;L;5;visual_cluster_and_ocr;0
2809_Screenshot_20250709-175158__R1.png;HW_HERO_0051;xesha__appearance_01;Xe'Sha;0.7986422592543619;MEDIUM;2809;R;1;visual_cluster_and_ocr;0
2809_Screenshot_20250709-175158__R2.png;HW_HERO_0030;lian__appearance_01;Lian;0.9899550080299377;HIGH;2809;R;2;visual_cluster_and_ocr;0
2809_Screenshot_20250709-175158__R3.png;HW_HERO_0022;jorgen__appearance_01;Jorgen;0.9999982966550706;HIGH;2809;R;3;visual_cluster_and_ocr;0
2809_Screenshot_20250709-175158__R4.png;HW_HERO_0003;astaroth__appearance_01;Astaroth;0.9761962442488433;HIGH;2809;R;4;visual_cluster_and_ocr;0
2809_Screenshot_20250709-175158__R5.png;HW_HERO_0001;aidan__appearance_01;Aidan;0.999973770448018;HIGH;2809;R;5;visual_cluster_and_ocr;0
2810_Screenshot_20250709-175224__L1.png;HW_HERO_0003;astaroth__appearance_02;Astaroth;0.9888262360824831;HIGH;2810;L;1;visual_cluster_and_ocr;0
2810_Screenshot_20250709-175224__L2.png;HW_HERO_0031;lilith__appearance_01;Lilith;0.9065313532314917;HIGH;2810;L;2;visual_cluster_and_ocr;0
2810_Screenshot_20250709-175224__L3.png;HW_HERO_0001;aidan__appearance_01;Aidan;0.9999771824268544;HIGH;2810;L;3;visual_cluster_and_ocr;0
2810_Screenshot_20250709-175224__L4.png;HW_HERO_0051;xesha__appearance_01;Xe'Sha;0.999769166484732;HIGH;2810;L;4;visual_cluster_and_ocr;0
2810_Screenshot_20250709-175224__L5.png;HW_HERO_0026;kayla__appearance_01;Kayla;0.9999784619185637;HIGH;2810;L;5;visual_cluster_and_ocr;0
2810_Screenshot_20250709-175224__R1.png;HW_HERO_0018;iris__appearance_01;Iris;0.9984111189842224;HIGH;2810;R;1;visual_cluster_and_ocr;0
2810_Screenshot_20250709-175224__R2.png;HW_HERO_0038;orion__appearance_01;Orion;0.9999301076600385;HIGH;2810;R;2;visual_cluster_and_ocr;0
2810_Screenshot_20250709-175224__R3.png;HW_HERO_0010;dante__appearance_01;Dante;0.9999809675892679;HIGH;2810;R;3;visual_cluster_and_ocr;0
2810_Screenshot_20250709-175224__R4.png;HW_HERO_0049;tempus__appearance_01;Tempus;0.9999495807140754;HIGH;2810;R;4;visual_cluster_and_ocr;0
2810_Screenshot_20250709-175224__R5.png;HW_HERO_0037;octavia__appearance_01;Octavia;0.7248149780670021;MEDIUM;2810;R;5;visual_cluster_and_ocr;0
2818_Screenshot_20250709-175413__R3.png;HW_HERO_0071;kai__appearance_01;Kaï;0.9997743245468785;HIGH;2818;R;3;human_reviewed_batch_001;1
2818_Screenshot_20250709-175413__R4.png;HW_HERO_0067;arachne__appearance_01;Arachné;0.8951751703892412;HIGH;2818;R;4;human_reviewed_batch_001;1
2818_Screenshot_20250709-175413__R5.png;HW_HERO_0062;luther__appearance_01;Luther;0.9977274983060211;HIGH;2818;R;5;human_reviewed_batch_001;1
6110_Screenshot_2025.08.14_19.21.55.241__R1.png;HW_HERO_0023;juge__appearance_01;Judge;0.9999965880303531;HIGH;6110;R;1;human_reviewed_batch_001;1
6110_Screenshot_2025.08.14_19.21.55.241__R2.png;HW_HERO_0056;isaac__appearance_01;Isaac;0.9997791787559077;HIGH;6110;R;2;human_reviewed_batch_001;1
6626_Screenshot_20250818_190245_Hero_Wars__L3.png;HW_HERO_0031;lilith__appearance_01;Lilith;0.8372496055758502;MEDIUM;6626;L;3;human_reviewed_batch_001;1
23003_Screenshot_20260120_101255_Hero_Wars__R4.png;HW_HERO_0023;juge__appearance_01;Judge;0.9999988804476111;HIGH;23003;R;4;human_reviewed_batch_001;1
23796_Screenshot_20260202_005206_Hero_Wars__R5.png;HW_HERO_0054;amira__appearance_01;Amira;0.9999708382776078;HIGH;23796;R;5;human_reviewed_batch_001;1
24054_Screenshot_2026-02-01-02-25-51-718_com.nexters.herowars__L2.png;HW_HERO_0058;cornelius__appearance_01;Cornélius;0.9998981529370438;HIGH;24054;L;2;human_reviewed_batch_001;1
24109_IMG_0216__L2.png;HW_HERO_0056;isaac__appearance_01;Isaac;0.9996003637089201;HIGH;24109;L;2;human_reviewed_batch_001;1
24109_IMG_0216__L4.png;HW_HERO_0023;juge__appearance_01;Judge;0.9999968545905313;HIGH;24109;L;4;human_reviewed_batch_001;1
24231_IMG_3632__L3.png;HW_HERO_0068;astrid_and_lucas__appearance_01;Astrid and Lucas;0.8829614541914917;HIGH;24231;L;3;human_reviewed_batch_001;1
24489_Screenshot_20260207-102123__L3.png;HW_HERO_0056;isaac__appearance_01;Isaac;0.9997807248445032;HIGH;24489;L;3;human_reviewed_batch_001;1
24489_Screenshot_20260207-102123__R3.png;HW_HERO_0056;isaac__appearance_01;Isaac;0.9983566576169312;HIGH;24489;R;3;human_reviewed_batch_001;1
24931_Screenshot_20260219_234620_Hero_Wars__R1.png;HW_HERO_0059;artemis__appearance_01;Artemis;0.9999830585681754;HIGH;24931;R;1;human_reviewed_batch_001;1
24931_Screenshot_20260219_234620_Hero_Wars__R3.png;HW_HERO_0062;luther__appearance_01;Luther;0.9993631468695687;HIGH;24931;R;3;human_reviewed_batch_001;1
25048_Screenshot_2026-02-20-20-55-07-685_com.nexters.herowars__R4.png;HW_HERO_0021;jhu__appearance_02;Jhu;0.9999882308461432;HIGH;25048;R;4;human_reviewed_batch_001;1
25278_Screenshot_20260209_191952_Hero_Wars__R1.png;HW_HERO_0058;cornelius__appearance_01;Cornélius;0.9999059416587668;HIGH;25278;R;1;human_reviewed_batch_001;1
25450_Screenshot_20260220_190543_Hero_Wars__L2.png;HW_HERO_0056;isaac__appearance_01;Isaac;0.9995642163802165;HIGH;25450;L;2;human_reviewed_batch_001;1
25470_IMG_3791__L2.png;HW_HERO_0061;lara_croft__appearance_01;Lara Croft;0.9827118243408032;HIGH;25470;L;2;human_reviewed_batch_001;1
25470_IMG_3791__L4.png;HW_HERO_0023;juge__appearance_01;Judge;0.9999968012784963;HIGH;25470;L;4;human_reviewed_batch_001;1
25470_IMG_3791__R1.png;HW_HERO_0057;drayne__appearance_01;Drayne;0.9998842683958116;HIGH;25470;R;1;human_reviewed_batch_001;1
25507_Screenshot_20260225_152852_Hero_Wars__L1.png;HW_HERO_0056;isaac__appearance_01;Isaac;0.9997300236541287;HIGH;25507;L;1;human_reviewed_batch_001;1
25507_Screenshot_20260225_152852_Hero_Wars__R5.png;HW_HERO_0054;amira__appearance_01;Amira;0.9999701985312017;HIGH;25507;R;5;human_reviewed_batch_001;1
26186_Screenshot_20260202_095838_Hero_Wars__R1.png;HW_HERO_0066;faceless__appearance_01;Faceless;0.9000397431290671;HIGH;26186;R;1;human_reviewed_batch_001;1
26315_Screenshot_2026-02-28-00-11-23-143_com.nexters.herowars__L2.png;HW_HERO_0058;cornelius__appearance_01;Cornélius;0.9963385987655341;HIGH;26315;L;2;human_reviewed_batch_001;1
26360_Screenshot_20260213-072648__R2.png;HW_HERO_0073;lars__appearance_01;Lars;0.9954628944396973;HIGH;26360;R;2;human_reviewed_batch_001;1
26360_Screenshot_20260213-072648__R4.png;HW_HERO_0072;krista__appearance_01;Krista;0.9999908505967238;HIGH;26360;R;4;human_reviewed_batch_001;1
26876_Screenshot_20260305_235000_Hero_Wars__L3.png;HW_HERO_0063;alvanor__appearance_01;Alvanor;0.999929980822734;HIGH;26876;L;3;human_reviewed_batch_001;1
27024_Screenshot_20260308_124143_Hero_Wars__L5.png;HW_HERO_0023;juge__appearance_01;Judge;0.9999987205115435;HIGH;27024;L;5;human_reviewed_batch_001;1
27024_Screenshot_20260308_124143_Hero_Wars__R4.png;HW_HERO_0015;galaad__appearance_01;Galahad;0.999985221309313;HIGH;27024;R;4;human_reviewed_batch_001;1
27337_Screenshot_20260309_020952_Hero_Wars__L2.png;HW_HERO_0064;helios__appearance_01;Helios;0.9999919212725472;HIGH;27337;L;2;human_reviewed_batch_001;1
27591_Screenshot_20260316_212051_Hero_Wars__L5.png;HW_HERO_0041;phobos__appearance_02;Phobos;0.9999933812846186;HIGH;27591;L;5;human_reviewed_batch_001;1
27682_IMG_0872__R1.png;HW_HERO_0059;artemis__appearance_01;Artemis;0.9999802199681402;HIGH;27682;R;1;human_reviewed_batch_001;1
27763_IMG_4114__L3.png;HW_HERO_0068;astrid_and_lucas__appearance_01;Astrid and Lucas;0.8381377649413765;MEDIUM;27763;L;3;human_reviewed_batch_001;1
27763_IMG_4114__R3.png;HW_HERO_0060;cleaver__appearance_01;Cleaver;0.9996996813581689;HIGH;27763;R;3;human_reviewed_batch_001;1
28019_Screenshot_20260318-061104__L3.png;HW_HERO_0056;isaac__appearance_01;Isaac;0.9997342887501841;HIGH;28019;L;3;human_reviewed_batch_001;1
28116_IMG_4138__L5.png;HW_HERO_0063;alvanor__appearance_01;Alvanor;0.9998913209075451;HIGH;28116;L;5;human_reviewed_batch_001;1
28116_IMG_4138__R3.png;HW_HERO_0056;isaac__appearance_01;Isaac;0.999712270168722;HIGH;28116;R;3;human_reviewed_batch_001;1
28116_IMG_4138__R4.png;HW_HERO_0059;artemis__appearance_01;Artemis;0.7719217085350439;MEDIUM;28116;R;4;human_reviewed_batch_001;1
28134_IMG_0993__L5.png;HW_HERO_0054;amira__appearance_01;Amira;0.9999697720335707;HIGH;28134;L;5;human_reviewed_batch_001;1
28207_Screenshot_20260322_235622_Hero_Wars__R2.png;HW_HERO_0067;arachne__appearance_02;Arachné;0.6265378339063293;MEDIUM;28207;R;2;human_reviewed_batch_001;1
28434_Screenshot_20260326_192112_Hero_Wars__L4.png;HW_HERO_0054;amira__appearance_01;Amira;0.9999858189921425;HIGH;28434;L;4;human_reviewed_batch_001;1
28473_Screenshot_20260331_142923_Hero_Wars__R2.png;HW_HERO_0056;isaac__appearance_01;Isaac;0.9997938399295159;HIGH;28473;R;2;human_reviewed_batch_001;1
29109_Screenshot_2026-03-31-17-47-40-093_com.nexters.herowars__L1.png;HW_HERO_0070;heidi__appearance_01;Heidi;0.9999912035129588;HIGH;29109;L;1;human_reviewed_batch_001;1
29109_Screenshot_2026-03-31-17-47-40-093_com.nexters.herowars__R4.png;HW_HERO_0055;morrigan__appearance_01;Morrigan;0.999993298641786;HIGH;29109;R;4;human_reviewed_batch_001;1
29255_IMG_6294__R1.png;HW_HERO_0056;isaac__appearance_01;Isaac;0.9995656025638082;HIGH;29255;R;1;human_reviewed_batch_001;1
29255_IMG_6294__R5.png;HW_HERO_0068;astrid_and_lucas__appearance_01;Astrid et Lucas;0.7837262144586157;MEDIUM;29255;R;5;human_reviewed_batch_001;1
29768_IMG_2174__R3.png;HW_HERO_0064;helios__appearance_01;Helios;0.9999919699396239;HIGH;29768;R;3;human_reviewed_batch_001;1
29768_IMG_2174__R4.png;HW_HERO_0066;faceless__appearance_01;Sin rostro;0.9812986042249487;HIGH;29768;R;4;human_reviewed_batch_001;1
29938_Screenshot_20260406_103711_Hero_Wars__L3.png;HW_HERO_0062;luther__appearance_01;Luther;0.9937602219040222;HIGH;29938;L;3;human_reviewed_batch_001;1
30350_Screenshot_20260402_175211_Hero_Wars__L5.png;HW_HERO_0055;morrigan__appearance_01;Morrigan;0.9795014174520256;HIGH;30350;L;5;human_reviewed_batch_001;1
30350_Screenshot_20260402_175211_Hero_Wars__R1.png;HW_HERO_0069;aurore__appearance_01;Aurore;0.9840759155750357;HIGH;30350;R;1;human_reviewed_batch_001;1
30350_Screenshot_20260402_175211_Hero_Wars__R4.png;HW_HERO_0055;morrigan__appearance_01;Morrigan;0.9999934672296421;HIGH;30350;R;4;human_reviewed_batch_001;1
30350_Screenshot_20260402_175211_Hero_Wars__R5.png;HW_HERO_0074;thea__appearance_01;Théa;0.9999236464500427;HIGH;30350;R;5;human_reviewed_batch_001;1
30628_Screenshot_20260408-071912__L2.png;HW_HERO_0056;isaac__appearance_01;Isaac;0.9998293465211795;HIGH;30628;L;2;human_reviewed_batch_001;1
30628_Screenshot_20260408-071912__R3.png;HW_HERO_0056;isaac__appearance_01;Isaac;0.9983529250505259;HIGH;30628;R;3;human_reviewed_batch_001;1
30662_Screenshot_20260415_165146_Hero_Wars__R2.png;HW_HERO_0021;jhu__appearance_02;Jhu;0.9999805912298881;HIGH;30662;R;2;human_reviewed_batch_001;1
30777_Screenshot_20260416-001522__L1.png;HW_HERO_0057;drayne__appearance_01;Drayne;0.9999303569941854;HIGH;30777;L;1;human_reviewed_batch_001;1
30777_Screenshot_20260416-001522__R3.png;HW_HERO_0054;amira__appearance_01;Amira;0.9999821937682789;HIGH;30777;R;3;human_reviewed_batch_001;1
30832_Screenshot_20260417_170710_com_nexters_herowars_MessagingUnityPlayerActivity__R3.png;HW_HERO_0068;astrid_and_lucas__appearance_01;Astrid et Lucas;0.7783281079047393;MEDIUM;30832;R;3;human_reviewed_batch_001;1
31071_Screenshot_2026-04-20-21-53-46-223_com.nexters.herowars__R1.png;HW_HERO_0057;drayne__appearance_01;Drayne;0.999888551200154;HIGH;31071;R;1;human_reviewed_batch_001;1
31318_Screenshot_2026-04-26-12-52-45-89_b7069e849b44f49c61683e78ed778d97__L5.png;HW_HERO_0054;amira__appearance_01;Amira;0.9999660934906123;HIGH;31318;L;5;human_reviewed_batch_001;1
31318_Screenshot_2026-04-26-12-52-45-89_b7069e849b44f49c61683e78ed778d97__R1.png;HW_HERO_0066;faceless__appearance_01;Faceless;0.9999800847966451;HIGH;31318;R;1;human_reviewed_batch_001;1
31318_Screenshot_2026-04-26-12-52-45-89_b7069e849b44f49c61683e78ed778d97__R2.png;HW_HERO_0041;phobos__appearance_02;Phobos;0.9999757637736367;HIGH;31318;R;2;human_reviewed_batch_001;1
