path;tracked;size_bytes;size_human;has_main_function;function_count;class_count;imports;path_literals;syntax_error
scripts/crop_hero_samples.py;1;13888;13.56 Ko;1;6;0;PIL | __future__ | math | pathlib | re | sys;- data/reports/hero_avatar_sheet.jpg | - data/reports/hero_crop_overview.jpg | - data/reports/hero_name_sheet.jpg | - data/reports/hero_row_sheet.jpg | .jpg | .png | ^(\d+) | __debug.jpg | data/crops/hero | data/reports | data/samples/hero | hero_avatar_sheet.jpg | hero_crop_overview.jpg | hero_name_sheet.jpg | hero_row_sheet.jpg;
scripts/detect_avatar_frames_batch.py;1;29370;28.68 Ko;1;13;2;PIL | __future__ | csv | cv2 | dataclasses | math | numpy | pathlib | sys; | L/R= |  | support L/R= | .jpg | .png | / | __frame_detection.jpg | data/batches/hero_batch_001/raw | data/batches/hero_batch_001/reports/frame_detection_v1 | frame_detection_manifest.csv;
scripts/export_sample.py;1;4762;4.65 Ko;1;5;0;PIL | __future__ | dotenv | hashlib | io | os | pathlib | pymysql | pymysql.cursors | re | sys | typing;".jpg | .png | [<>:""/\\|?*] | data/sample";
scripts/export_samples.py;1;5939;5.80 Ko;1;7;0;PIL | __future__ | collections | dotenv | io | os | pathlib | pymysql | pymysql.connections | pymysql.cursors | re | sys | typing;".jpg | .png | [<>:""/\\|?*] | data/samples";
scripts/export_validation_batch.py;1;14407;14.07 Ko;1;10;0;PIL | __future__ | collections | csv | dotenv | io | os | pathlib | pymysql | pymysql.connections | pymysql.cursors | random | re | sys | typing;"
    Détecte les captures déjà exportées dans data/sample
    ou data/samples grâce à l'identifiant placé au début du nom.
     | .jpg | .png | / | [<>:""/\\|?*] | ^(\d+) | batch_manifest.csv | data/batches | data/sample | data/samples";
scripts/extract_dynamic_frame_crops.py;1;17566;17.15 Ko;1;15;0;PIL | __future__ | csv | math | pathlib | statistics | sys | typing;.jpg | .png | / | __fallback.jpg | crop_manifest.csv | data/batches/hero_batch_001 | reports/frame_detection_v1/frame_detection_manifest.csv;
scripts/extract_validation_batch_crops.py;1;11374;11.11 Ko;1;4;0;PIL | __future__ | check_batch_crop_layout_v2 | collections | crop_hero_samples | csv | pathlib | re | sys;.jpg | .png | / | ^(?P<id>\d+) | crop_manifest.csv | data/batches/hero_batch_001;
scripts/group_reconciliation_review.py;0;21897;21.38 Ko;1;13;0;__future__ | collections | csv | html | os | pathlib | re | sys | unicodedata | urllib.parse;"
                        </span><br>

                        Confiance :
                         | 
                    </p>

                    <p class=""filename"">
                         | 
                    </p>

                    <p>
                        <strong>OCR :</strong>
                        <span class=""ocr"">
                             | 
                    </p>
                </article>
                 | 
                </div>

                 | 
                </div>
            </section>
             | 
            </tbody>
        </table>
    </section>

     | 
        </ul>

        <p>
            Groupes créés :  | 
</body>
</html>
 |  autre(s) membre(s) sont présents dans le CSV.</p> |  cas
                </h2>

                <div class=""summary"">
                    <strong>OCR représentatif :</strong>
                     | ""
                    >

                    <p>
                        <strong>Visuel :</strong>
                         | / | </li> | </td>
                <td class=""ocr""> | </td>
                <td> | </td>
            </tr>
             | <br>

                    <strong>Correspondances OCR catalogue :</strong>
                     | <br>

                    <strong>Prédictions visuelles :</strong>
                     | <br>

                    <strong>Statuts visuels :</strong>
                     | <br>

                    <strong>Variantes OCR :</strong>
                     | \ | alias_candidates.csv | data/batches/hero_batch_001 | reconciliation_results.csv | review_group_members.csv | review_groups.csv | review_groups.html";
scripts/inspect_screenshots.py;1;6290;6.14 Ko;1;4;0;__future__ | dotenv | os | pymysql | pymysql.connections | pymysql.cursors | sys | typing;;
scripts/match_batch_avatars_to_catalog.py;1;24888;24.30 Ko;1;14;0;__future__ | cluster_hero_avatars | collections | csv | html | numpy | os | pathlib | re | sys | time | torch | urllib.parse;"
                </h2>

                <p>
                    <strong>Statut :</strong>
                     | 
                </p>

                <p class=""alternatives"">
                    <strong>Top 3 :</strong><br>
                    1.  | 
                </p>
            </article>
             | 
        </p>
    </section>

    <main class=""grid"">
         | 
    </main>
</body>
</html>
 | ""
                        >
                    </div>

                    <div class=""arrow"">→</div>

                    <div>
                        <div class=""caption"">Référence la plus proche</div>
                        <img
                            src="" | ""
                        >
                    </div>
                </div>

                <h2>
                     | "">
                <div class=""images"">
                    <div>
                        <div class=""caption"">Avatar analysé</div>
                        <img
                            src="" | )
                </p>

                <p class=""filename"">
                     | - Marge même héros / mauvais héros : min= | .
        </p>

        <p>
            Cartes affichées :  | / | <br>

                    <strong>Apparence :</strong>
                     | <br>

                    <strong>Capture :</strong>
                     | <br>

                    <strong>Marge :</strong>
                     | <br>

                    <strong>Similarité :</strong>
                     | \ | ^(?P<screenshot_id>\d+).*__(?P<side>[LR])(?P<slot>[1-5])$ | data/batches/hero_batch_001/crops/avatars_inner | data/batches/hero_batch_001/reports/visual_matching | data/catalog/hero_avatar_manifest.csv | data/catalog/heroes.csv | data/crops/hero/avatars_inner | predicted_hero_counts.csv | visual_match_results.csv | visual_match_review.html";
scripts/match_dynamic_crops_to_catalog.py;0;860;860 o;0;0;0;__future__ | match_batch_avatars_to_catalog | pathlib;data/batches/hero_batch_001/crops_dynamic_v1/avatars_inner | data/batches/hero_batch_001/reports/visual_matching_dynamic_v1 | predicted_hero_counts.csv | visual_match_results.csv | visual_match_review.html;
scripts/ocr_dynamic_hero_names.py;0;14255;13.92 Ko;1;9;0;PIL | __future__ | csv | easyocr | html | numpy | os | pathlib | re | sys | time | unicodedata | urllib.parse;"
                </td>
                <td> | 
        </tbody>
    </table>
</body>
</html>
 | 
    Exemples dans Git Bash :

    OCR_LANGUAGES=fr,en     python scripts/ocr_dynamic_hero_names.py

    OCR_LANGUAGES=ru,en OCR_USE_ALLOWLIST=0     python scripts/ocr_dynamic_hero_names.py
     |  seconde/image | ""
                    >
                </td>
                <td class=""ocr"">
                     | .jpg | .png | / | </td>
                <td> | </td>
                <td>
                    <img
                        src="" | </td>
            </tr>
             | \ | ^(?P<id>\d+) | data/batches/hero_batch_001 | hero_names_ocr.csv | hero_names_ocr_review.html";
scripts/ocr_hero_names.py;1;11652;11.38 Ko;1;7;0;PIL | __future__ | csv | easyocr | html | numpy | os | pathlib | re | sys | time | unicodedata | urllib.parse;"
                </td>
                <td> | 
        </tbody>
    </table>
</body>
</html>
 |  seconde/image | ""
                    >
                </td>
                <td class=""ocr"">
                     | .jpg | .png | / | </td>
                <td> | </td>
                <td>
                    <img
                        src="" | </td>
            </tr>
             | \ | ^(?P<id>\d+) | data/crops/hero/names | data/reports | hero_names_ocr.csv | hero_names_ocr_review.html";
scripts/reconcile_visual_ocr.py;0;28714;28.04 Ko;1;14;0;__future__ | collections | csv | difflib | html | os | pathlib | re | statistics | sys | unicodedata | urllib.parse;"
                    </span><br>

                    Confiance :
                     | 
                </p>

                <p class=""filename"">
                    Capture  | 
                </p>

                <p>
                    <strong>OCR :</strong>
                    <span class=""ocr"">
                         | 
                </p>

                <p>
                    <strong>Résultat final :</strong>
                     | 
                </p>
            </article>
             | 
            </tbody>
        </table>
    </section>

    <main class=""grid"">
         | 
    </main>
</body>
</html>
 | ""
                    >
                </div>

                <h2> | / | </h2>

                <p>
                    <strong>Visuel :</strong>
                     | </li> | </td>
                <td class=""ocr""> | </td>
                <td> | </td>
            </tr>
             | \ | alias_candidates.csv | data/batches/hero_batch_001 | data/catalog/hero_name_aliases.csv | data/catalog/heroes.csv | hero_names_ocr.csv | reconciliation_results.csv | reconciliation_review.html | visual_match_results.csv";
scripts/test_database.py;1;1862;1.82 Ko;1;2;0;__future__ | dotenv | os | pymysql | pymysql.cursors | sys;;
src/hero_wars_vision/__init__.py;1;0;0 o;0;0;0;;;
