appearance_id;hero_uid;technical_cluster_id;avatar_count;sample_files;appearance_type;reviewed;notes
octavia__appearance_01;HW_HERO_0037;46;7;2807_Screenshot_20250709-124710__R4.png | 2810_Screenshot_20250709-175224__R5.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R5.png | 38232_Screenshot_2026-07-24-23-30-48-292_com.nexters.herowars__L3.png | 38233_Screenshot_20260728_194145_Hero_Wars__R2.png;unknown_variant;0;
tempus__appearance_01;HW_HERO_0049;51;7;2810_Screenshot_20250709-175224__R4.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L5.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L4.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L4.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R5.png;unknown_variant;0;
celeste__appearance_01;HW_HERO_0006;24;6;2801_Screenshot_20250708-120939__L3.png | 2801_Screenshot_20250708-120939__R4.png | 2802_Screenshot_20250708-120933__L2.png | 2805_Screenshot_20250709-125031__R4.png | 2807_Screenshot_20250709-124710__L3.png;unknown_variant;0;
julius__appearance_01;HW_HERO_0024;53;6;2803_Screenshot_20250709-140336__R4.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L4.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__R4.png | 38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__R3.png | 38233_Screenshot_20260728_194145_Hero_Wars__L3.png;unknown_variant;0;
galaad__appearance_01;HW_HERO_0015;23;5;2801_Screenshot_20250708-120939__R3.png | 2802_Screenshot_20250708-120933__R2.png | 2806_Screenshot_20250709-124954__L2.png | 2806_Screenshot_20250709-124954__R2.png | 2809_Screenshot_20250709-175158__L4.png;unknown_variant;0;
keira__appearance_01;HW_HERO_0027;40;5;2801_Screenshot_20250708-120939__L1.png | 2801_Screenshot_20250708-120939__R2.png | 2802_Screenshot_20250708-120933__L1.png | 2807_Screenshot_20250709-124710__L1.png | 2808_Screenshot_20250709-124612__L1.png;unknown_variant;0;
astaroth__appearance_01;HW_HERO_0003;1;4;2801_Screenshot_20250708-120939__R5.png | 2802_Screenshot_20250708-120933__R4.png | 2808_Screenshot_20250709-124612__R4.png | 2809_Screenshot_20250709-175158__R4.png;unknown_variant;0;
andvari__appearance_01;HW_HERO_0002;5;4;2801_Screenshot_20250708-120939__L4.png | 2802_Screenshot_20250708-120933__L3.png | 2807_Screenshot_20250709-124710__L4.png | 2808_Screenshot_20250709-124612__L3.png;unknown_variant;0;
satori__appearance_01;HW_HERO_0045;25;4;2802_Screenshot_20250708-120933__R1.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__R2.png | 38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__L1.png | 38233_Screenshot_20260728_194145_Hero_Wars__L1.png;unknown_variant;0;
yasmine__appearance_01;HW_HERO_0052;33;4;2808_Screenshot_20250709-124612__R2.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R2.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R2.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R2.png;unknown_variant;0;
dante__appearance_01;HW_HERO_0010;38;4;2804_Screenshot_20250709-140324__R1.png | 2807_Screenshot_20250709-124710__R2.png | 2810_Screenshot_20250709-175224__R3.png | 38232_Screenshot_2026-07-24-23-30-48-292_com.nexters.herowars__L4.png;unknown_variant;0;
xesha__appearance_01;HW_HERO_0051;45;4;2809_Screenshot_20250709-175158__R1.png | 2810_Screenshot_20250709-175224__L4.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L2.png | 38235_Screenshot_20260728_193758_Hero_Wars__L1.png;unknown_variant;0;
astaroth__appearance_02;HW_HERO_0003;2;3;2803_Screenshot_20250709-140336__L3.png | 2804_Screenshot_20250709-140324__L3.png | 2810_Screenshot_20250709-175224__L1.png;unknown_variant;0;
fafnir__appearance_01;HW_HERO_0013;7;3;2808_Screenshot_20250709-124612__R5.png | 2809_Screenshot_20250709-175158__L5.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L5.png;unknown_variant;0;
ishmael__appearance_01;HW_HERO_0019;8;3;2805_Screenshot_20250709-125031__L2.png | 2808_Screenshot_20250709-124612__R1.png | 2809_Screenshot_20250709-175158__L2.png;unknown_variant;0;
jhu__appearance_01;HW_HERO_0021;10;3;2805_Screenshot_20250709-125031__R2.png | 2806_Screenshot_20250709-124954__L1.png | 2808_Screenshot_20250709-124612__L2.png;unknown_variant;0;
nebula__appearance_01;HW_HERO_0036;29;3;2806_Screenshot_20250709-124954__L5.png | 2807_Screenshot_20250709-124710__R5.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L5.png;unknown_variant;0;
leonel__appearance_01;HW_HERO_0029;3;2;38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R1.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R1.png;unknown_variant;0;
tristan__appearance_01;HW_HERO_0050;6;2;2809_Screenshot_20250709-175158__L3.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L1.png;unknown_variant;0;
qing_mao__appearance_01;HW_HERO_0043;12;2;2801_Screenshot_20250708-120939__R1.png | 2809_Screenshot_20250709-175158__L1.png;unknown_variant;0;
rufus__appearance_01;HW_HERO_0044;14;2;2804_Screenshot_20250709-140324__R2.png | 38232_Screenshot_2026-07-24-23-30-48-292_com.nexters.herowars__L2.png;unknown_variant;0;
maya__appearance_01;HW_HERO_0033;17;2;2806_Screenshot_20250709-124954__L4.png | 2806_Screenshot_20250709-124954__R4.png;unknown_variant;0;
oya__appearance_01;HW_HERO_0039;18;2;38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R3.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R3.png;unknown_variant;0;
somna__appearance_01;HW_HERO_0048;20;2;38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__R5.png | 38235_Screenshot_20260728_193758_Hero_Wars__R5.png;unknown_variant;0;
cascade__appearance_01;HW_HERO_0005;28;2;2805_Screenshot_20250709-125031__R1.png | 2807_Screenshot_20250709-124710__R1.png;unknown_variant;0;
peech__appearance_01;HW_HERO_0040;31;2;2803_Screenshot_20250709-140336__L2.png | 2804_Screenshot_20250709-140324__L2.png;unknown_variant;0;
dorian__appearance_01;HW_HERO_0011;42;2;2804_Screenshot_20250709-140324__R3.png | 2806_Screenshot_20250709-124954__R5.png;skin_or_variant;0;
jorgen__appearance_01;HW_HERO_0022;47;2;2802_Screenshot_20250708-120933__R3.png | 2809_Screenshot_20250709-175158__R3.png;unknown_variant;0;
orion__appearance_01;HW_HERO_0038;49;2;2805_Screenshot_20250709-125031__L1.png | 2810_Screenshot_20250709-175224__R2.png;unknown_variant;0;
lilith__appearance_01;HW_HERO_0031;9;1;2810_Screenshot_20250709-175224__L2.png;unknown_variant;0;
ginger__appearance_01;HW_HERO_0016;13;1;2805_Screenshot_20250709-125031__R3.png;unknown_variant;0;
champi_et_gnon__appearance_01;HW_HERO_0007;15;1;38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L1.png;unknown_variant;0;
ziri__appearance_01;HW_HERO_0053;16;1;2805_Screenshot_20250709-125031__L4.png;unknown_variant;0;
soleil__appearance_01;HW_HERO_0047;21;1;2803_Screenshot_20250709-140336__R3.png;unknown_variant;0;
soleil__appearance_02;HW_HERO_0047;22;1;38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L3.png;unknown_variant;0;
sebastien__appearance_01;HW_HERO_0046;26;1;2808_Screenshot_20250709-124612__R3.png;unknown_variant;0;
dorian__appearance_02;HW_HERO_0011;27;1;38235_Screenshot_20260728_193758_Hero_Wars__L3.png;skin_or_variant;0;
crow__appearance_01;HW_HERO_0009;32;1;38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L2.png;unknown_variant;0;
kendle__appearance_01;HW_HERO_0028;36;1;38235_Screenshot_20260728_193758_Hero_Wars__L2.png;unknown_variant;0;
phobos__appearance_01;HW_HERO_0041;41;1;2806_Screenshot_20250709-124954__R3.png;unknown_variant;0;
miu__appearance_01;HW_HERO_0034;44;1;38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L2.png;unknown_variant;0;
corvus__appearance_01;HW_HERO_0008;48;1;2807_Screenshot_20250709-124710__R3.png;unknown_variant;0;
juge__appearance_01;HW_HERO_0023;50;1;38233_Screenshot_20260728_194145_Hero_Wars__L5.png;unknown_variant;0;
jet__appearance_01;HW_HERO_0020;54;1;2804_Screenshot_20250709-140324__R4.png;unknown_variant;0;
mojo__appearance_01;HW_HERO_0035;55;1;2805_Screenshot_20250709-125031__L3.png;unknown_variant;0;
karkh__appearance_01;HW_HERO_0025;56;1;2806_Screenshot_20250709-124954__R1.png;unknown_variant;0;
