appearance_id;technical_cluster_id;display_cluster_number;hero_id;suggested_name;ocr_aliases;avatar_count;sample_files;reviewed;notes
octavia__appearance_01;46;11;octavia;Octavia;Octavia;7;2807_Screenshot_20250709-124710__R4.png | 2810_Screenshot_20250709-175224__R5.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R5.png | 38232_Screenshot_2026-07-24-23-30-48-292_com.nexters.herowars__L3.png | 38233_Screenshot_20260728_194145_Hero_Wars__R2.png;0;
tempus__appearance_01;51;12;tempus;Tempus;Tempus;7;2810_Screenshot_20250709-175224__R4.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L5.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L4.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__L4.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__R5.png;0;
celeste__appearance_01;24;13;celeste;Céleste;Céleste;6;2801_Screenshot_20250708-120939__L3.png | 2801_Screenshot_20250708-120939__R4.png | 2802_Screenshot_20250708-120933__L2.png | 2805_Screenshot_20250709-125031__R4.png | 2807_Screenshot_20250709-124710__L3.png;0;
julius__appearance_01;53;14;julius;Julius;Julius;6;2803_Screenshot_20250709-140336__R4.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__L4.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__R4.png | 38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__R3.png | 38233_Screenshot_20260728_194145_Hero_Wars__L3.png;0;
galaad__appearance_01;23;15;galaad;Galaad;Galaad;5;2801_Screenshot_20250708-120939__R3.png | 2802_Screenshot_20250708-120933__R2.png | 2806_Screenshot_20250709-124954__L2.png | 2806_Screenshot_20250709-124954__R2.png | 2809_Screenshot_20250709-175158__L4.png;0;
keira__appearance_01;40;16;keira;Keira;Keira;5;2801_Screenshot_20250708-120939__L1.png | 2801_Screenshot_20250708-120939__R2.png | 2802_Screenshot_20250708-120933__L1.png | 2807_Screenshot_20250709-124710__L1.png | 2808_Screenshot_20250709-124612__L1.png;0;
astaroth__appearance_01;1;17;astaroth;Astaroth;Astaroth;4;2801_Screenshot_20250708-120939__R5.png | 2802_Screenshot_20250708-120933__R4.png | 2808_Screenshot_20250709-124612__R4.png | 2809_Screenshot_20250709-175158__R4.png;0;
andvari__appearance_01;5;18;andvari;Andvari;Andvari;4;2801_Screenshot_20250708-120939__L4.png | 2802_Screenshot_20250708-120933__L3.png | 2807_Screenshot_20250709-124710__L4.png | 2808_Screenshot_20250709-124612__L3.png;0;
satori__appearance_01;25;19;satori;Satori;Satori;4;2802_Screenshot_20250708-120933__R1.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__R2.png | 38231_Screenshot_2026-07-24-23-35-05-086_com.nexters.herowars__L1.png | 38233_Screenshot_20260728_194145_Hero_Wars__L1.png;0;
yasmine__appearance_01;33;20;yasmine;Yasmine;Yasmine;4;2808_Screenshot_20250709-124612__R2.png | 38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R2.png | 38228_Screenshot_2026-07-27-01-27-44-005_com.nexters.herowars__R2.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R2.png;0;
dante__appearance_01;38;21;dante;Dante;Dante;4;2804_Screenshot_20250709-140324__R1.png | 2807_Screenshot_20250709-124710__R2.png | 2810_Screenshot_20250709-175224__R3.png | 38232_Screenshot_2026-07-24-23-30-48-292_com.nexters.herowars__L4.png;0;
xesha__appearance_01;45;22;xesha;Xe'Sha;Xe'Sha;4;2809_Screenshot_20250709-175158__R1.png | 2810_Screenshot_20250709-175224__L4.png | 38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L2.png | 38235_Screenshot_20260728_193758_Hero_Wars__L1.png;0;
astaroth__appearance_02;2;23;astaroth;Astaroth;Astaroth;3;2803_Screenshot_20250709-140336__L3.png | 2804_Screenshot_20250709-140324__L3.png | 2810_Screenshot_20250709-175224__L1.png;0;
fafnir__appearance_01;7;24;fafnir;Fafnir;Fafnir;3;2808_Screenshot_20250709-124612__R5.png | 2809_Screenshot_20250709-175158__L5.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L5.png;0;
ishmael__appearance_01;8;25;ishmael;Ishmaël;Ishmaël;3;2805_Screenshot_20250709-125031__L2.png | 2808_Screenshot_20250709-124612__R1.png | 2809_Screenshot_20250709-175158__L2.png;0;
jhu__appearance_01;10;26;jhu;Jhu;Jhu;3;2805_Screenshot_20250709-125031__R2.png | 2806_Screenshot_20250709-124954__L1.png | 2808_Screenshot_20250709-124612__L2.png;0;
nebula__appearance_01;29;27;nebula;Nébula;Nébula;3;2806_Screenshot_20250709-124954__L5.png | 2807_Screenshot_20250709-124710__R5.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L5.png;0;
leonel__appearance_01;3;28;leonel;Leonel;Leonel;2;38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R1.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R1.png;0;
tristan__appearance_01;6;29;tristan;Tristan;Tristan;2;2809_Screenshot_20250709-175158__L3.png | 38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L1.png;0;
qing_mao__appearance_01;12;30;qing_mao;Qing Mao;Qing Mao;2;2801_Screenshot_20250708-120939__R1.png | 2809_Screenshot_20250709-175158__L1.png;0;
rufus__appearance_01;14;31;rufus;Rufus;Rufus;2;2804_Screenshot_20250709-140324__R2.png | 38232_Screenshot_2026-07-24-23-30-48-292_com.nexters.herowars__L2.png;0;
maya__appearance_01;17;32;maya;Maya;Maya;2;2806_Screenshot_20250709-124954__L4.png | 2806_Screenshot_20250709-124954__R4.png;0;
oya__appearance_01;18;33;oya;Oya;Oya;2;38226_Screenshot_2026-07-28-03-54-24-668_com.nexters.herowars__R3.png | 38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__R3.png;0;
somna__appearance_01;20;34;somna;Somna;Somna;2;38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__R5.png | 38235_Screenshot_20260728_193758_Hero_Wars__R5.png;0;
cascade__appearance_01;28;35;cascade;Cascade;Cascade;2;2805_Screenshot_20250709-125031__R1.png | 2807_Screenshot_20250709-124710__R1.png;0;
peech__appearance_01;31;36;peech;Peech;Peech;2;2803_Screenshot_20250709-140336__L2.png | 2804_Screenshot_20250709-140324__L2.png;0;
dorian__appearance_01;42;37;dorian;Dorian;Dorian;2;2804_Screenshot_20250709-140324__R3.png | 2806_Screenshot_20250709-124954__R5.png;0;
jorgen__appearance_01;47;38;jorgen;Jorgen;Jorgen;2;2802_Screenshot_20250708-120933__R3.png | 2809_Screenshot_20250709-175158__R3.png;0;
orion__appearance_01;49;39;orion;Orion;Orion;2;2805_Screenshot_20250709-125031__L1.png | 2810_Screenshot_20250709-175224__R2.png;0;
lilith__appearance_01;9;40;lilith;Lilith;Lilith;1;2810_Screenshot_20250709-175224__L2.png;0;
ginger__appearance_01;13;41;ginger;Ginger;Ginger;1;2805_Screenshot_20250709-125031__R3.png;0;
champi_et_gnon__appearance_01;15;42;champi_et_gnon;Champi et Gnon;Champi et Gnon;1;38227_Screenshot_2026-07-28-03-54-03-254_com.nexters.herowars__L1.png;0;
ziri__appearance_01;16;43;ziri;Ziri;Ziri;1;2805_Screenshot_20250709-125031__L4.png;0;
soleil__appearance_01;21;44;soleil;Soleil;Soleil;1;2803_Screenshot_20250709-140336__R3.png;0;
soleil__appearance_02;22;45;soleil;Soleil;Soleil;1;38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L3.png;0;
sebastien__appearance_01;26;46;sebastien;Sébastien;Sébastien;1;2808_Screenshot_20250709-124612__R3.png;0;
dorian__appearance_02;27;47;dorian;Dorian;Dorian;1;38235_Screenshot_20260728_193758_Hero_Wars__L3.png;0;
crow__appearance_01;32;48;crow;Crow;Crow;1;38230_Screenshot_2026-07-24-23-36-30-805_com.nexters.herowars__L2.png;0;
kendle__appearance_01;36;49;kendle;Kendle;Kendle;1;38235_Screenshot_20260728_193758_Hero_Wars__L2.png;0;
phobos__appearance_01;41;50;phobos;Phobos;Phobos;1;2806_Screenshot_20250709-124954__R3.png;0;
miu__appearance_01;44;51;miu;Miu;Miu;1;38229_Screenshot_2026-07-26-00-58-59-791_com.nexters.herowars__L2.png;0;
corvus__appearance_01;48;52;corvus;Corvus;Corvus;1;2807_Screenshot_20250709-124710__R3.png;0;
juge__appearance_01;50;53;juge;Juge;Juge;1;38233_Screenshot_20260728_194145_Hero_Wars__L5.png;0;
jet__appearance_01;54;54;jet;Jet;Jet;1;2804_Screenshot_20250709-140324__R4.png;0;
mojo__appearance_01;55;55;mojo;Mojo;Mojo;1;2805_Screenshot_20250709-125031__L3.png;0;
karkh__appearance_01;56;56;karkh;K'arkh;K'arkh;1;2806_Screenshot_20250709-124954__R1.png;0;
